equipmentId;timestamp;value
EQ-76;2024-09-06T02:38:19.000-05:00;26.53
EQ-22;2024-04-22T22:06:13.000-05:00;38.75
EQ-79;2023-01-18T22:34:32.000-05:00;36.57
EQ-70;2023-06-02T20:55:28.000-05:00;30.59
EQ-53;2024-05-14T00:13:14.000-05:00;20.15
EQ-24;2023-11-01T12:47:12.000-05:00;29.61
EQ-31;2024-03-21T16:28:01.000-05:00;33.62
EQ-12;2023-12-25T07:10:06.000-05:00;37.53
EQ-24;2024-02-06T21:30:26.000-05:00;23.79
EQ-61;2023-12-17T03:38:00.000-05:00;36.03
EQ-28;2023-01-23T08:30:41.000-05:00;29.03
EQ-79;2024-08-03T08:30:05.000-05:00;31.68
EQ-59;2023-08-10T05:43:31.000-05:00;36.42
EQ-83;2024-07-17T14:47:06.000-05:00;23.37
EQ-44;2023-12-17T03:52:31.000-05:00;36.23
EQ-75;2023-12-06T03:17:08.000-05:00;26.72
EQ-06;2023-05-23T04:37:02.000-05:00;32.4
EQ-49;2024-05-06T06:54:01.000-05:00;34.77
EQ-94;2023-04-04T00:09:51.000-05:00;28.72
EQ-57;2024-02-27T05:45:35.000-05:00;31.85
EQ-42;2023-03-10T08:31:38.000-05:00;35.22
EQ-48;2023-12-04T02:45:48.000-05:00;38.43
EQ-44;2023-03-23T03:43:27.000-05:00;33.51
EQ-39;2024-05-12T05:20:10.000-05:00;33.51
EQ-62;2023-06-15T08:51:51.000-05:00;39.59
EQ-60;2023-03-27T00:13:51.000-05:00;26.33
EQ-08;2024-06-27T17:30:53.000-05:00;23.69
EQ-10;2023-07-08T12:57:42.000-05:00;34.16
EQ-66;2023-07-01T18:03:39.000-05:00;30.85
EQ-44;2023-09-12T22:33:25.000-05:00;27.08
EQ-68;2023-01-28T18:35:31.000-05:00;39.49
EQ-82;2024-02-16T15:47:03.000-05:00;21.68
EQ-59;2024-07-16T11:46:16.000-05:00;20.2
EQ-06;2024-05-11T13:36:31.000-05:00;30.92
EQ-83;2023-10-30T07:12:22.000-05:00;34.97
EQ-65;2023-05-10T10:08:33.000-05:00;20.25
EQ-33;2023-08-17T21:51:28.000-05:00;39.17
EQ-62;2023-11-25T10:47:37.000-05:00;31.29
EQ-81;2023-09-20T16:19:44.000-05:00;32.01
EQ-23;2023-11-11T05:05:40.000-05:00;20.64
EQ-08;2023-06-30T01:14:14.000-05:00;24.21
EQ-98;2024-03-07T12:02:09.000-05:00;23.75
EQ-74;2023-04-18T20:15:34.000-05:00;39.07
EQ-05;2023-09-22T02:54:21.000-05:00;27.84
EQ-10;2023-12-08T17:53:42.000-05:00;37.11
EQ-36;2023-01-19T17:58:01.000-05:00;39.33
EQ-69;2023-04-03T18:59:00.000-05:00;32.4
EQ-84;2023-07-11T15:27:08.000-05:00;35.37
EQ-22;2024-01-12T14:07:30.000-05:00;36.63
EQ-89;2023-05-13T18:07:34.000-05:00;22.96
EQ-59;2023-10-18T10:45:32.000-05:00;39.68
EQ-42;2024-02-27T21:32:51.000-05:00;37.95
EQ-92;2023-07-14T15:50:34.000-05:00;31.15
EQ-13;2024-08-26T12:13:19.000-05:00;34.86
EQ-91;2023-06-22T12:50:28.000-05:00;32.44
EQ-88;2023-06-04T05:06:30.000-05:00;33.96
EQ-18;2024-06-05T12:18:51.000-05:00;31.96
EQ-89;2024-04-17T12:11:17.000-05:00;30.77
EQ-32;2023-04-15T15:54:38.000-05:00;30.39
EQ-13;2024-04-23T23:43:31.000-05:00;21.22
EQ-68;2024-05-20T19:40:14.000-05:00;22.98
EQ-89;2024-04-26T13:10:36.000-05:00;24.78
EQ-16;2023-11-19T09:21:17.000-05:00;20.08
EQ-65;2024-04-09T00:47:58.000-05:00;38.89
EQ-25;2023-06-27T19:04:36.000-05:00;39.73
EQ-21;2024-09-09T07:00:02.000-05:00;32.79
EQ-70;2023-11-30T19:58:29.000-05:00;26.62
EQ-20;2024-08-08T20:48:44.000-05:00;34.06
EQ-87;2023-10-15T09:31:08.000-05:00;34.26
EQ-09;2024-01-13T18:42:54.000-05:00;24.51
EQ-86;2024-07-05T19:49:05.000-05:00;25.1
EQ-13;2023-07-17T03:19:21.000-05:00;38.09
EQ-87;2023-04-15T13:34:31.000-05:00;39.9
EQ-28;2023-03-16T21:44:45.000-05:00;23.45
EQ-84;2024-02-06T07:57:32.000-05:00;32.87
EQ-40;2023-01-15T06:14:09.000-05:00;39.16
EQ-81;2024-03-17T09:35:25.000-05:00;23.99
EQ-61;2023-01-28T19:22:45.000-05:00;21.18
EQ-90;2024-04-17T07:16:18.000-05:00;21.7
EQ-56;2024-08-22T07:12:50.000-05:00;38.98
EQ-19;2023-04-14T19:09:27.000-05:00;35.08
EQ-93;2024-07-19T17:40:06.000-05:00;33.02
EQ-68;2024-03-31T03:00:44.000-05:00;32.36
EQ-30;2023-07-31T06:00:27.000-05:00;32.77
EQ-84;2023-06-04T20:58:11.000-05:00;37.66
EQ-43;2023-02-06T16:21:05.000-05:00;27.64
EQ-28;2023-12-21T19:21:23.000-05:00;38.25
EQ-03;2023-12-01T16:25:41.000-05:00;26.05
EQ-68;2023-12-08T09:14:42.000-05:00;30.29
EQ-38;2024-05-16T01:39:24.000-05:00;29.59
EQ-47;2023-06-26T03:09:13.000-05:00;20.99
EQ-57;2024-08-04T22:09:11.000-05:00;28.63
EQ-57;2024-07-29T20:50:13.000-05:00;22.66
EQ-44;2024-06-08T10:35:18.000-05:00;38.71
EQ-29;2023-08-12T02:07:18.000-05:00;30.92
EQ-59;2023-03-02T17:09:44.000-05:00;28.77
EQ-23;2023-11-27T14:44:32.000-05:00;39.94
EQ-10;2024-09-10T02:59:40.000-05:00;26.38
EQ-89;2024-03-07T03:13:14.000-05:00;38.47
EQ-52;2023-11-11T12:45:51.000-05:00;27.84
EQ-12;2024-04-11T09:19:49.000-05:00;37.03
EQ-56;2023-11-04T01:23:16.000-05:00;28.92
EQ-91;2024-08-28T22:15:04.000-05:00;27.62
EQ-15;2023-11-21T10:58:59.000-05:00;29.48
EQ-14;2023-04-30T13:03:24.000-05:00;38.61
EQ-89;2023-09-02T01:42:13.000-05:00;28.92
EQ-40;2024-07-26T07:31:06.000-05:00;37.9
EQ-17;2023-11-04T12:57:37.000-05:00;23.1
EQ-29;2023-12-19T11:52:15.000-05:00;37.71
EQ-72;2024-02-04T22:10:00.000-05:00;36.9
EQ-57;2024-06-09T15:05:26.000-05:00;29.63
EQ-98;2024-05-05T21:10:04.000-05:00;21.95
EQ-89;2024-07-07T13:23:44.000-05:00;26.43
EQ-32;2023-08-08T14:51:54.000-05:00;21.24
EQ-67;2024-05-15T23:50:18.000-05:00;36.95
EQ-98;2023-07-30T10:42:35.000-05:00;25.47
EQ-93;2023-11-16T05:58:25.000-05:00;36.55
EQ-07;2023-08-01T03:31:23.000-05:00;21.17
EQ-06;2023-02-20T07:55:22.000-05:00;34.43
EQ-64;2024-08-21T14:27:27.000-05:00;29.65
EQ-40;2023-01-08T08:46:48.000-05:00;35.1
EQ-46;2024-03-03T15:41:52.000-05:00;20.98
EQ-12;2023-05-06T20:10:00.000-05:00;39.48
EQ-02;2023-07-15T07:00:40.000-05:00;38.01
EQ-22;2024-01-06T03:09:25.000-05:00;23.69
EQ-80;2023-01-04T12:49:03.000-05:00;25.86
EQ-32;2024-01-21T10:32:26.000-05:00;39.76
EQ-37;2024-06-17T04:51:16.000-05:00;39.16
EQ-46;2024-05-03T23:36:52.000-05:00;24.61
EQ-28;2023-10-31T17:00:07.000-05:00;34.74
EQ-48;2024-07-24T00:35:11.000-05:00;37.79
EQ-93;2023-06-22T15:21:45.000-05:00;35.15
EQ-93;2024-01-29T19:20:37.000-05:00;37.09
EQ-59;2023-08-06T18:30:50.000-05:00;20.74
EQ-81;2023-01-13T17:24:16.000-05:00;22.38
EQ-67;2023-04-08T07:43:27.000-05:00;25.98
EQ-39;2024-04-25T04:15:58.000-05:00;36.92
EQ-98;2023-02-21T01:50:56.000-05:00;35.89
EQ-69;2023-01-20T12:59:32.000-05:00;39.64
EQ-41;2023-11-14T22:20:08.000-05:00;31.75
EQ-74;2024-06-23T16:41:02.000-05:00;34.53
EQ-29;2023-07-24T06:37:09.000-05:00;37.63
EQ-45;2024-08-02T17:31:19.000-05:00;30.12
EQ-43;2023-06-01T01:04:55.000-05:00;26.7
EQ-04;2023-03-22T21:58:06.000-05:00;27.82
EQ-12;2023-07-22T07:49:51.000-05:00;28.57
EQ-89;2024-03-30T01:51:37.000-05:00;36.95
EQ-69;2023-06-17T14:38:53.000-05:00;24.47
EQ-95;2023-12-12T23:44:14.000-05:00;28.33
EQ-34;2024-07-27T19:54:18.000-05:00;23.99
EQ-22;2023-07-04T00:01:18.000-05:00;24.35
EQ-48;2023-01-09T04:53:10.000-05:00;31.65
EQ-88;2024-06-20T15:16:26.000-05:00;38.71
EQ-85;2024-01-07T20:41:43.000-05:00;28.58
EQ-22;2024-08-07T20:12:58.000-05:00;33.58
EQ-96;2023-08-19T12:29:15.000-05:00;39.18
EQ-41;2024-08-25T20:47:05.000-05:00;37.83
EQ-85;2023-07-15T23:00:05.000-05:00;22.4
EQ-36;2023-10-12T13:57:27.000-05:00;23.2
EQ-29;2023-06-08T20:14:58.000-05:00;27.97
EQ-93;2024-09-24T13:31:28.000-05:00;33.4
EQ-29;2023-06-01T12:30:00.000-05:00;34.42
EQ-35;2023-06-28T23:26:34.000-05:00;31.74
EQ-01;2024-03-12T15:39:28.000-05:00;25.33
EQ-44;2023-07-11T11:39:05.000-05:00;27.23
EQ-93;2024-07-02T07:30:09.000-05:00;28.95
EQ-87;2023-11-03T13:12:48.000-05:00;28.72
EQ-08;2024-09-18T08:44:05.000-05:00;38.47
EQ-16;2024-01-28T12:30:52.000-05:00;20.71
EQ-81;2023-03-14T10:20:17.000-05:00;35.33
EQ-28;2024-05-25T03:32:06.000-05:00;38.13
EQ-93;2023-01-04T21:10:35.000-05:00;24.28
EQ-36;2023-04-25T16:25:43.000-05:00;38.57
EQ-01;2023-02-21T12:58:26.000-05:00;39.07
EQ-45;2023-03-05T18:29:30.000-05:00;39.39
EQ-63;2023-12-20T17:13:56.000-05:00;34.87
EQ-02;2023-01-01T01:36:52.000-05:00;31.08
EQ-77;2024-08-26T08:47:12.000-05:00;37.57
EQ-97;2023-04-17T04:12:15.000-05:00;34.14
EQ-24;2024-02-26T12:31:59.000-05:00;28.36
EQ-66;2023-09-08T23:52:45.000-05:00;27.87
EQ-54;2023-07-19T18:24:47.000-05:00;25.71
EQ-55;2023-09-18T13:02:59.000-05:00;27.05
EQ-39;2024-01-18T10:05:47.000-05:00;29.13
EQ-53;2023-07-24T16:33:31.000-05:00;21.5
EQ-74;2024-08-12T18:06:17.000-05:00;28.43
EQ-69;2023-06-30T03:43:46.000-05:00;21.42
EQ-08;2023-09-05T22:31:02.000-05:00;21.47
EQ-15;2024-06-12T07:04:45.000-05:00;27.17
EQ-51;2024-07-05T05:06:17.000-05:00;35.7
EQ-64;2024-08-22T00:57:35.000-05:00;25.48
EQ-06;2023-04-30T18:43:10.000-05:00;25.67
EQ-49;2023-02-01T19:54:32.000-05:00;26.37
EQ-44;2024-06-01T03:15:17.000-05:00;31.95
EQ-04;2024-07-12T01:10:55.000-05:00;23.49
EQ-22;2023-10-12T13:47:49.000-05:00;25.8
EQ-13;2024-05-12T17:58:44.000-05:00;23.94
EQ-91;2023-05-19T17:58:38.000-05:00;24.79
EQ-15;2023-07-17T12:15:12.000-05:00;24.97
EQ-13;2023-03-23T22:52:20.000-05:00;34.94
EQ-27;2023-10-02T14:10:30.000-05:00;39.19
EQ-18;2024-08-04T10:34:23.000-05:00;32.77
EQ-63;2023-08-04T10:03:48.000-05:00;20.48
EQ-98;2024-02-01T19:27:13.000-05:00;30.09
EQ-96;2023-10-01T01:49:37.000-05:00;34.34
EQ-66;2023-12-11T11:50:17.000-05:00;27.19
EQ-60;2024-08-09T01:26:54.000-05:00;31.44
EQ-35;2023-07-10T02:15:10.000-05:00;39.59
EQ-66;2024-07-09T20:18:34.000-05:00;38.24
EQ-06;2024-08-09T17:40:38.000-05:00;35.77
EQ-66;2024-05-19T18:54:35.000-05:00;26.65
EQ-11;2023-02-18T04:48:40.000-05:00;31.24
EQ-92;2023-11-11T09:25:51.000-05:00;29.15
EQ-07;2023-08-10T14:08:30.000-05:00;39.34
EQ-13;2023-09-02T22:46:56.000-05:00;38.42
EQ-14;2023-03-22T22:48:02.000-05:00;37.94
EQ-35;2024-02-03T08:35:41.000-05:00;30.84
EQ-73;2023-11-24T22:30:59.000-05:00;36.55
EQ-18;2023-04-26T17:15:21.000-05:00;25.21
EQ-29;2023-03-30T04:29:56.000-05:00;25.23
EQ-62;2023-03-14T09:22:54.000-05:00;36.96
EQ-84;2023-02-26T12:31:59.000-05:00;27.81
EQ-96;2023-12-01T23:32:01.000-05:00;31.67
EQ-86;2023-10-19T02:13:16.000-05:00;23.21
EQ-39;2023-05-27T03:58:13.000-05:00;35.19
EQ-84;2023-01-29T10:39:24.000-05:00;26.64
EQ-21;2023-04-07T08:44:36.000-05:00;37.15
EQ-89;2023-01-03T10:10:18.000-05:00;24.76
EQ-41;2023-10-10T09:03:24.000-05:00;20.6
EQ-40;2023-02-14T19:53:13.000-05:00;24.11
EQ-61;2023-10-23T22:08:03.000-05:00;28.89
EQ-74;2023-10-30T16:20:37.000-05:00;28.42
EQ-63;2023-07-10T14:34:13.000-05:00;24.93
EQ-72;2024-08-23T03:44:08.000-05:00;32.42
EQ-31;2023-05-31T07:52:44.000-05:00;22.96
EQ-96;2023-03-11T20:53:33.000-05:00;34.28
EQ-25;2023-01-13T17:02:24.000-05:00;28.56
EQ-45;2024-03-14T08:37:25.000-05:00;31.13
EQ-88;2024-07-23T13:01:32.000-05:00;28.85
EQ-36;2023-05-27T07:25:16.000-05:00;32.0
EQ-04;2024-03-06T21:04:12.000-05:00;33.33
EQ-15;2024-06-28T23:26:46.000-05:00;35.45
EQ-09;2023-01-09T06:15:17.000-05:00;39.25
EQ-80;2023-10-14T20:10:43.000-05:00;35.35
EQ-65;2024-01-06T10:31:41.000-05:00;32.3
EQ-51;2023-04-29T21:24:52.000-05:00;31.47
EQ-95;2024-07-28T16:34:49.000-05:00;28.47
EQ-02;2023-04-05T11:49:50.000-05:00;25.21
EQ-38;2024-08-09T16:52:55.000-05:00;27.13
EQ-40;2024-08-12T12:02:55.000-05:00;30.29
EQ-12;2023-12-31T13:38:13.000-05:00;20.6
EQ-42;2024-09-03T00:09:58.000-05:00;27.28
EQ-15;2023-03-26T09:47:37.000-05:00;33.94
EQ-73;2024-02-04T13:27:54.000-05:00;25.61
EQ-43;2023-08-17T23:27:01.000-05:00;23.87
EQ-37;2023-01-18T10:11:15.000-05:00;23.37
EQ-23;2023-10-04T17:38:38.000-05:00;34.87
EQ-16;2024-01-07T07:54:46.000-05:00;35.81
EQ-24;2023-03-27T11:09:05.000-05:00;25.02
EQ-82;2023-01-05T16:41:18.000-05:00;36.36
EQ-14;2024-02-03T08:49:34.000-05:00;39.85
EQ-10;2023-08-03T02:40:38.000-05:00;28.38
EQ-64;2023-01-03T14:50:44.000-05:00;20.39
EQ-68;2024-01-02T10:27:01.000-05:00;23.73
EQ-86;2023-05-14T20:01:58.000-05:00;39.9
EQ-30;2024-03-27T18:20:43.000-05:00;21.42
EQ-73;2023-08-14T02:46:19.000-05:00;21.57
EQ-77;2023-04-08T16:50:21.000-05:00;38.28
EQ-83;2024-05-22T23:56:34.000-05:00;21.88
EQ-17;2023-08-12T13:42:38.000-05:00;27.49
EQ-17;2023-08-23T14:09:30.000-05:00;28.98
EQ-25;2023-02-10T15:03:31.000-05:00;30.04
EQ-30;2024-02-09T23:37:10.000-05:00;37.01
EQ-04;2023-06-03T14:26:21.000-05:00;31.84
EQ-31;2023-05-24T12:15:15.000-05:00;30.48
EQ-27;2023-03-14T10:49:14.000-05:00;35.67
EQ-69;2023-09-15T22:26:50.000-05:00;37.98
EQ-95;2024-08-02T14:23:59.000-05:00;23.78
EQ-37;2023-10-27T20:29:01.000-05:00;33.61
EQ-02;2024-07-17T23:34:41.000-05:00;34.16
EQ-59;2024-06-11T09:52:04.000-05:00;36.74
EQ-61;2024-02-19T22:11:08.000-05:00;37.53
EQ-40;2023-11-11T03:17:02.000-05:00;38.11
EQ-36;2023-07-06T01:17:06.000-05:00;31.96
EQ-91;2024-07-25T12:10:54.000-05:00;33.17
EQ-74;2023-05-17T06:23:40.000-05:00;36.51
EQ-96;2023-01-18T04:57:48.000-05:00;34.68
EQ-25;2023-10-17T05:33:52.000-05:00;20.19
EQ-51;2023-06-14T21:41:16.000-05:00;35.77
EQ-90;2024-08-16T09:28:10.000-05:00;20.17
EQ-39;2023-04-12T04:08:50.000-05:00;20.92
EQ-36;2023-01-16T21:51:27.000-05:00;33.29
EQ-56;2024-01-24T20:32:36.000-05:00;25.17
EQ-35;2023-02-06T16:24:05.000-05:00;30.37
EQ-44;2024-05-16T20:54:42.000-05:00;27.82
EQ-45;2024-03-14T12:05:50.000-05:00;29.11
EQ-28;2024-04-04T16:43:53.000-05:00;28.69
EQ-68;2023-11-21T15:05:02.000-05:00;32.07
EQ-70;2024-05-05T02:34:51.000-05:00;29.85
EQ-10;2023-11-06T04:55:43.000-05:00;32.42
EQ-42;2024-07-03T05:48:11.000-05:00;32.95
EQ-14;2024-08-02T16:08:37.000-05:00;38.98
EQ-98;2023-04-22T22:02:07.000-05:00;34.69
EQ-03;2023-12-03T22:59:03.000-05:00;23.84
EQ-43;2024-04-27T21:21:10.000-05:00;24.11
EQ-71;2023-02-10T10:38:54.000-05:00;38.36
EQ-73;2024-07-09T14:54:03.000-05:00;31.42
EQ-58;2023-12-04T16:17:51.000-05:00;28.48
EQ-56;2024-08-05T11:12:42.000-05:00;32.54
EQ-08;2024-03-06T19:33:12.000-05:00;26.08
EQ-10;2024-03-14T23:46:34.000-05:00;22.5
EQ-52;2024-09-21T01:57:19.000-05:00;32.97
EQ-76;2023-12-01T08:15:10.000-05:00;28.73
EQ-12;2023-09-20T01:33:58.000-05:00;25.02
EQ-72;2024-06-23T13:41:42.000-05:00;33.64
EQ-48;2024-01-01T07:51:30.000-05:00;38.91
EQ-64;2024-09-13T08:35:43.000-05:00;29.55
EQ-32;2023-12-14T19:18:12.000-05:00;22.93
EQ-41;2023-05-07T01:55:15.000-05:00;28.66
EQ-72;2023-05-03T23:42:53.000-05:00;33.25
EQ-27;2023-10-28T09:51:10.000-05:00;23.02
EQ-25;2023-01-06T05:06:54.000-05:00;37.93
EQ-82;2023-07-04T06:37:59.000-05:00;27.38
EQ-75;2023-01-05T06:05:18.000-05:00;33.64
EQ-46;2023-10-06T12:39:05.000-05:00;26.76
EQ-58;2024-08-07T02:50:45.000-05:00;23.24
EQ-63;2024-04-14T15:08:15.000-05:00;34.97
EQ-08;2024-08-06T00:08:47.000-05:00;36.38
EQ-57;2023-04-20T06:48:21.000-05:00;20.9
EQ-04;2023-03-21T06:04:00.000-05:00;28.9
EQ-28;2023-11-28T04:17:24.000-05:00;24.79
EQ-54;2024-02-08T04:45:35.000-05:00;34.14
EQ-77;2023-05-02T11:31:30.000-05:00;33.12
EQ-71;2024-08-24T19:28:25.000-05:00;24.41
EQ-23;2023-01-18T19:36:09.000-05:00;26.63
EQ-62;2024-05-11T02:29:55.000-05:00;31.05
EQ-72;2024-05-20T04:24:42.000-05:00;23.65
EQ-79;2023-12-04T12:49:21.000-05:00;29.16
EQ-89;2024-04-01T07:29:37.000-05:00;26.54
EQ-10;2023-05-18T02:29:41.000-05:00;25.25
EQ-72;2023-03-13T05:58:08.000-05:00;34.95
EQ-37;2024-06-06T01:46:44.000-05:00;38.68
EQ-67;2024-06-23T08:07:45.000-05:00;32.36
EQ-16;2023-12-23T02:00:25.000-05:00;36.51
EQ-09;2024-06-29T02:46:45.000-05:00;21.21
EQ-58;2024-08-01T07:12:42.000-05:00;34.72
EQ-60;2024-09-17T13:50:58.000-05:00;37.27
EQ-91;2023-11-26T10:57:27.000-05:00;36.65
EQ-80;2023-09-06T13:12:18.000-05:00;37.22
EQ-73;2024-08-02T12:36:50.000-05:00;34.04
EQ-69;2024-04-12T15:51:16.000-05:00;26.34
EQ-22;2024-03-11T06:57:30.000-05:00;22.65
EQ-49;2024-08-17T05:28:12.000-05:00;23.74
EQ-67;2023-06-01T02:24:05.000-05:00;22.11
EQ-63;2024-04-17T14:04:44.000-05:00;26.48
EQ-69;2024-06-10T00:53:48.000-05:00;34.99
EQ-34;2024-04-17T14:57:42.000-05:00;21.22
EQ-16;2023-06-08T05:32:03.000-05:00;26.47
EQ-18;2024-09-17T15:13:08.000-05:00;35.62
EQ-32;2023-04-24T14:56:51.000-05:00;22.59
EQ-44;2023-06-18T23:26:35.000-05:00;20.16
EQ-59;2024-08-31T07:18:40.000-05:00;31.9
EQ-64;2024-01-28T12:40:37.000-05:00;30.37
EQ-62;2023-09-24T16:01:05.000-05:00;21.16
EQ-76;2023-02-21T14:03:50.000-05:00;37.46
EQ-21;2023-04-26T05:57:16.000-05:00;35.41
EQ-76;2023-04-11T04:53:30.000-05:00;28.1
EQ-49;2023-08-13T22:24:16.000-05:00;20.19
EQ-11;2023-09-25T04:38:21.000-05:00;30.01
EQ-82;2023-10-14T09:10:31.000-05:00;39.03
EQ-31;2023-03-19T13:54:34.000-05:00;29.88
EQ-81;2023-09-24T17:44:45.000-05:00;29.71
EQ-70;2023-01-03T15:10:30.000-05:00;25.09
EQ-15;2024-01-17T18:52:28.000-05:00;27.2
EQ-74;2024-06-26T09:18:22.000-05:00;32.59
EQ-78;2023-03-28T11:23:03.000-05:00;39.24
EQ-89;2024-01-09T15:54:46.000-05:00;37.47
EQ-43;2024-05-27T05:54:00.000-05:00;25.16
EQ-11;2023-06-18T07:19:50.000-05:00;28.8
EQ-98;2023-11-17T13:06:34.000-05:00;27.89
EQ-82;2024-08-24T22:29:17.000-05:00;30.46
EQ-71;2024-05-29T03:08:18.000-05:00;20.02
EQ-51;2023-05-22T15:24:14.000-05:00;37.06
EQ-10;2023-12-15T11:38:55.000-05:00;29.32
EQ-35;2023-05-25T19:00:13.000-05:00;35.1
EQ-38;2023-12-20T06:51:37.000-05:00;22.87
EQ-20;2024-02-09T03:20:15.000-05:00;39.16
EQ-12;2024-07-19T17:46:12.000-05:00;22.77
EQ-10;2024-04-10T10:58:19.000-05:00;27.28
EQ-80;2023-06-14T13:40:24.000-05:00;27.63
EQ-21;2023-08-09T20:53:26.000-05:00;38.78
EQ-07;2023-12-08T21:50:42.000-05:00;28.76
EQ-10;2024-01-02T15:28:04.000-05:00;28.88
EQ-49;2024-08-13T21:54:27.000-05:00;28.39
EQ-46;2024-07-08T08:13:41.000-05:00;39.57
EQ-53;2023-11-28T19:37:25.000-05:00;22.89
EQ-27;2024-03-20T22:40:26.000-05:00;32.5
EQ-98;2024-09-24T16:41:04.000-05:00;23.11
EQ-63;2023-07-30T14:21:12.000-05:00;32.61
EQ-62;2023-04-27T17:24:55.000-05:00;20.29
EQ-53;2023-09-01T21:26:23.000-05:00;28.69
EQ-08;2023-11-08T21:17:51.000-05:00;28.87
EQ-52;2023-09-08T01:23:25.000-05:00;21.58
EQ-62;2023-07-20T22:36:11.000-05:00;21.13
EQ-64;2024-07-28T16:47:07.000-05:00;27.27
EQ-47;2023-11-15T06:31:12.000-05:00;24.87
EQ-18;2023-03-04T22:23:14.000-05:00;31.7
EQ-88;2023-11-12T07:57:11.000-05:00;27.73
EQ-51;2023-05-27T15:29:31.000-05:00;36.15
EQ-32;2023-05-23T01:53:10.000-05:00;21.85
EQ-84;2023-03-05T08:13:22.000-05:00;25.04
EQ-06;2024-04-08T00:53:38.000-05:00;20.65
EQ-74;2024-03-09T11:19:43.000-05:00;31.76
EQ-34;2023-04-01T08:56:11.000-05:00;24.01
EQ-20;2023-09-03T04:01:48.000-05:00;36.46
EQ-51;2024-02-18T13:21:31.000-05:00;28.3
EQ-96;2023-01-18T22:01:19.000-05:00;25.23
EQ-56;2024-07-22T06:19:15.000-05:00;38.21
EQ-39;2024-03-07T14:22:47.000-05:00;22.51
EQ-18;2023-05-25T08:39:36.000-05:00;32.3
EQ-88;2023-03-16T13:18:21.000-05:00;26.53
EQ-21;2023-12-16T06:15:34.000-05:00;20.9
EQ-89;2023-09-11T22:43:50.000-05:00;38.21
EQ-51;2023-09-14T05:11:56.000-05:00;26.95
EQ-89;2024-03-13T07:25:32.000-05:00;30.48
EQ-78;2023-01-15T01:00:20.000-05:00;38.6
EQ-82;2024-05-10T22:03:46.000-05:00;29.77
EQ-97;2023-07-19T15:42:41.000-05:00;23.53
EQ-28;2024-06-09T00:47:16.000-05:00;33.69
EQ-45;2023-12-20T06:38:42.000-05:00;23.6
EQ-93;2024-03-19T19:56:01.000-05:00;27.34
EQ-04;2023-07-22T00:01:28.000-05:00;24.72
EQ-77;2024-07-11T00:15:14.000-05:00;32.22
EQ-35;2023-03-15T09:58:21.000-05:00;21.01
